,IP,Time,URL,Staus,request_type
0,10.128.2.1,[29/Nov/2017:06:58:55,GET /login.php HTTP/1.1,200,GET 
1,10.128.2.1,[29/Nov/2017:06:59:02,POST /process.php HTTP/1.1,302,POST 
2,10.128.2.1,[29/Nov/2017:06:59:03,GET /home.php HTTP/1.1,200,GET 
3,10.131.2.1,[29/Nov/2017:06:59:04,GET /js/vendor/moment.min.js HTTP/1.1,200,GET 
4,10.130.2.1,[29/Nov/2017:06:59:06,GET /bootstrap-3.3.7/js/bootstrap.js HTTP/1.1,200,GET 
5,10.130.2.1,[29/Nov/2017:06:59:19,GET /profile.php?user=bala HTTP/1.1,200,GET 
6,10.128.2.1,[29/Nov/2017:06:59:19,GET /js/jquery.min.js HTTP/1.1,200,GET 
7,10.131.2.1,[29/Nov/2017:06:59:19,GET /js/chart.min.js HTTP/1.1,200,GET 
8,10.131.2.1,[29/Nov/2017:06:59:30,GET /edit.php?name=bala HTTP/1.1,200,GET 
9,10.131.2.1,[29/Nov/2017:06:59:37,GET /logout.php HTTP/1.1,302,GET 
10,10.131.2.1,[29/Nov/2017:06:59:37,GET /login.php HTTP/1.1,200,GET 
11,10.130.2.1,[29/Nov/2017:07:00:19,GET /login.php HTTP/1.1,200,GET 
12,10.130.2.1,[29/Nov/2017:07:00:21,GET /login.php HTTP/1.1,200,GET 
13,10.130.2.1,[29/Nov/2017:13:31:27,GET / HTTP/1.1,302,GET 
14,10.130.2.1,[29/Nov/2017:13:31:28,GET /login.php HTTP/1.1,200,GET 
15,10.129.2.1,[29/Nov/2017:13:38:03,POST /process.php HTTP/1.1,302,POST 
16,10.131.0.1,[29/Nov/2017:13:38:04,GET /home.php HTTP/1.1,200,GET 
17,10.131.0.1,[29/Nov/2017:13:38:07,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200,GET 
18,10.130.2.1,[29/Nov/2017:13:38:19,GET / HTTP/1.1,302,GET 
19,10.131.2.1,[29/Nov/2017:13:38:20,GET /login.php HTTP/1.1,200,GET 
20,10.131.2.1,[29/Nov/2017:13:38:20,GET /css/bootstrap.min.css HTTP/1.1,200,GET 
21,10.128.2.1,[29/Nov/2017:13:38:20,GET /css/font-awesome.min.css HTTP/1.1,200,GET 
22,10.131.0.1,[29/Nov/2017:13:38:20,GET /css/normalize.css HTTP/1.1,200,GET 
23,10.128.2.1,[29/Nov/2017:13:38:20,GET /css/style.css HTTP/1.1,200,GET 
24,10.131.0.1,[29/Nov/2017:13:38:20,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200,GET 
25,10.129.2.1,[29/Nov/2017:13:38:20,GET /css/main.css HTTP/1.1,200,GET 
26,10.131.0.1,[29/Nov/2017:13:38:21,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200,GET 
27,10.128.2.1,[29/Nov/2017:13:38:21,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200,GET 
28,10.131.2.1,[29/Nov/2017:13:38:23,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200,GET 
29,10.131.2.1,[29/Nov/2017:13:46:46,GET / HTTP/1.1,200,GET 
